customer_id,rfm_label,first_category_display,first_channel_display,winning_path_score,value_12m_proxy,margin_12m_proxy,days_since_last,conversion_alignment
-4.52216e+18,Need Attention,Others,Store,86.1,361.4,348.79999999999995,31,Channel aligned
7.39129e+18,Recent,Fragrance,Store,86.1,332.24,369.62,47,Channel aligned
2.96919e+18,Potential Loyalist,Skincare,Store,86.1,269.9,370.02,33,Channel aligned
-7.96195e+17,Recent,Fragrance,Estore,86.1,261.3,270.75,119,New pattern to test
4.52074e+18,About to Sleep,Others,Estore,86.1,250.0,350.0,149,New pattern to test
3.09194e+18,Need Attention,Mixed Basket (Skincare + 1 others),Store,86.1,213.59,189.19,1,Channel aligned
3.17271e+18,Potential Loyalist,Fragrance,Store,86.1,203.73000000000002,179.48000000000002,30,Channel aligned
3.34307e+18,Recent,Others,Store,86.1,183.87,243.87,17,Channel aligned
-9.51144e+17,Need Attention,Make Up,Store,86.1,137.69,197.59,9,Category and channel aligned
7.9457e+18,Champions,Mixed Basket (Skincare + 5 others),Estore,86.0,851.45,794.2,39,New pattern to test
-8.10475e+18,Champions,Skincare,Store,86.0,803.35,688.85,9,Channel aligned
-1.1788e+18,Champions,Make Up,Estore,86.0,782.6800000000001,751.46,30,Category aligned
-2.43216e+18,Champions,Make Up,Estore,86.0,741.9000000000001,659.6000000000001,8,Category aligned
3.30144e+18,Champions,Haircare,Estore,86.0,683.25,604.24,191,New pattern to test
7.32533e+18,At Risk,Mixed Basket (Make Up + 8 others),Store,86.0,646.86,646.86,264,Channel aligned
-3.19088e+18,Loyal,Fragrance,Store,86.0,579.8100000000001,499.88000000000005,36,Channel aligned
4.50815e+18,Loyal,Mixed Basket (Make Up + 1 others),Store,86.0,579.17,497.51,16,Channel aligned
7.88859e+18,Loyal,Make Up,Store,86.0,574.96,515.49,20,Category and channel aligned
-9.88517e+17,Loyal,Make Up,Store,86.0,572.5,704.55,158,Category and channel aligned
6.86183e+18,Loyal,Make Up,Store,86.0,571.86,541.54,18,Category and channel aligned
-2.70171e+17,Promising,Mixed Basket (Not Specified + 5 others),Estore,86.0,542.89,488.64,12,New pattern to test
5.10589e+18,Loyal,Make Up,Store,86.0,541.48,477.49,22,Category and channel aligned
-3.95317e+18,Recent,Mixed Basket (Make Up + 2 others),Store,86.0,530.84,493.17,7,Channel aligned
-1.3482e+18,Loyal,Make Up,Estore,86.0,503.65,613.5,21,Category aligned
-1.07454e+18,Recent,Haircare,Store,86.0,445.8,477.1,11,Channel aligned
-3.40226e+18,Loyal,Make Up,Store,86.0,388.28999999999996,384.68999999999994,16,Category and channel aligned
-5.38446e+18,Need Attention,Skincare,Store,86.0,353.45,270.12,42,Channel aligned
6.09513e+18,About to Sleep,Make Up,Store,86.0,280.23,198.06,184,Category and channel aligned
-6.98094e+18,Promising,Make Up,Store,86.0,271.2,336.45,165,Category and channel aligned
1.2713e+18,Need Attention,Make Up,Store,86.0,233.32999999999998,196.02999999999997,31,Category and channel aligned
7.45874e+18,Recent,Skincare,Store,86.0,223.49,278.5,15,Channel aligned
-1.33088e+18,Potential Loyalist,Make Up,Store,86.0,221.61,268.31,8,Category and channel aligned
4.93523e+17,Recent,Make Up,Store,86.0,221.28,208.79,47,Category and channel aligned
-3.15586e+18,Loyal,Mixed Basket (Others + 4 others),Store,85.9,1926.06,1514.29,20,Channel aligned
